"anio_regis","week_regis","ent_regis","deaths_count","channel_endemic_estimation","farrington_estimation_all","farrington_partial","name","abr","date_ref"
2020,6,32,235,285.2,253.498335036086,253.498335036086,"ZACATECAS","ZS",2020-02-05
2020,7,1,150,155.2,178.630879337997,178.630879337997,"AGUASCALIENTES","AS",2020-02-12
2020,7,2,491,433.4,539.192068686727,539.192068686727,"BAJA CALIFORNIA","BC",2020-02-12
2020,7,3,91,73.2,108.870275687109,108.870275687109,"BAJA CALIFORNIA SUR","BS",2020-02-12
2020,7,4,120,94.4,100.368559210312,100.368559210312,"CAMPECHE","CC",2020-02-12
2020,7,5,401,387.2,422.566544647567,422.566544647567,"COAHUILA","CL",2020-02-12
2020,7,6,114,95.8,109.515885048906,109.515885048906,"COLIMA","CM",2020-02-12
2020,7,7,474,565.8,566.70336806362,566.70336806362,"CHIAPAS","CS",2020-02-12
2020,7,8,569,569,583.121900869886,583.121900869886,"CHIHUAHUA","CH",2020-02-12
2020,7,9,1544,1752.4,1604.98630695082,1604.98630695082,"CIUDAD DE MÉXICO","DF",2020-02-12
2020,7,10,228,238.8,253.998840066991,253.998840066991,"DURANGO","DG",2020-02-12
2020,7,11,902,838,930.61302521998,930.61302521998,"GUANAJUATO","GT",2020-02-12
2020,7,12,342,432,473.931722210597,473.931722210597,"GUERRERO","GR",2020-02-12
2020,7,13,346,379.4,409.480624638626,409.480624638626,"HIDALGO","HG",2020-02-12
2020,7,14,957,1169.4,1141.72597048313,1141.72597048313,"JALISCO","JC",2020-02-12
2020,7,15,1542,1718,1790.13228885181,1790.13228885181,"MÉXICO","MC",2020-02-12
2020,7,16,577,687.8,808.620562932452,808.620562932452,"MICHOACÁN","MN",2020-02-12
2020,7,17,295,281.2,334.613001690181,334.613001690181,"MORELOS","MS",2020-02-12
2020,7,18,125,143.8,153.670937290373,153.670937290373,"NAYARIT","NT",2020-02-12
2020,7,19,571,612,825.175890917871,825.175890917871,"NUEVO LEÓN","NL",2020-02-12
2020,7,20,440,540.4,522.329605364534,522.329605364534,"OAXACA","OC",2020-02-12
2020,7,21,716,863,912.756674432945,912.756674432945,"PUEBLA","PL",2020-02-12
2020,7,22,264,239.6,262.383156390919,262.383156390919,"QUERÉTARO","QT",2020-02-12
2020,7,23,140,141.2,175.689878344084,175.689878344084,"QUINTANA ROO","QR",2020-02-12
2020,7,24,311,380.4,406.759385424314,406.759385424314,"SAN LUIS POTOSÍ","SP",2020-02-12
2020,7,25,362,336.4,359.466610365804,359.466610365804,"SINALOA","SL",2020-02-12
2020,7,26,426,381.4,410.265194559887,410.265194559887,"SONORA","SR",2020-02-12
2020,7,27,265,289,314.447497689813,314.447497689813,"TABASCO","TC",2020-02-12
2020,7,28,396,465,484.338639265272,484.338639265272,"TAMAULIPAS","TS",2020-02-12
2020,7,29,134,153.2,173.654086151451,173.654086151451,"TLAXCALA","TL",2020-02-12
2020,7,30,942,1123,1172.44207444106,1172.44207444106,"VERACRUZ","VZ",2020-02-12
2020,7,31,257,275.8,286.058301518549,286.058301518549,"YUCATÁN","YN",2020-02-12
2020,7,32,258,235.6,248.282181119834,248.282181119834,"ZACATECAS","ZS",2020-02-12
